Date : 2021-09-27 13:37:23
Directory : c:\Users\surya\practice projects\flutter\notes_app
Total : 480 files,  168573 codes, 9573 comments, 658 blanks, all 178804 lines

Languages
+------------+------------+------------+------------+------------+------------+
| language   | files      | code       | comment    | blank      | total      |
| c:\Users\surya\practice projects\flutter\notes_app\android\.idea\libraries\Gradle__androidx_versionedparcelable_versionedparcelable_1_1_0_aar.xml                                                 | XML        |         13 |          0 |          0 |         13 |
| c:\Users\surya\practice projects\flutter\notes_app\android\.idea\libraries\Gradle__androidx_viewpager_viewpager_1_0_0_aar.xml                                                                     | XML        |         13 |          0 |          0 |         13 |
| c:\Users\surya\practice projects\flutter\notes_app\android\.idea\libraries\Gradle__com_google_android_annotations_4_1_1_4.xml                                                                     | XML        |         13 |          0 |          0 |         13 |
| c:\Users\surya\practice projects\flutter\notes_app\android\.idea\libraries\Gradle__com_google_android_gms_play_services_ads_identifier_17_0_0_aar.xml                                             | XML        |         11 |          0 |          0 |         11 |
| c:\Users\surya\practice projects\flutter\notes_app\android\.idea\libraries\Gradle__com_google_android_gms_play_services_auth_api_phone_17_4_0_aar.xml                                             | XML        |         13 |          0 |          0 |         13 |
| c:\Users\surya\practice projects\flutter\notes_app\android\.idea\libraries\Gradle__com_google_android_gms_play_services_base_17_0_0_aar.xml                                                       | XML        |         13 |          0 |          0 |         13 |
| c:\Users\surya\practice projects\flutter\notes_app\android\.idea\libraries\Gradle__com_google_android_gms_play_services_base_17_1_0_aar.xml                                                       | XML        |         13 |          0 |          0 |         13 |
| c:\Users\surya\practice projects\flutter\notes_app\android\.idea\libraries\Gradle__com_google_android_gms_play_services_basement_17_0_0_aar.xml                                                   | XML        |         13 |          0 |          0 |         13 |
| c:\Users\surya\practice projects\flutter\notes_app\android\.idea\libraries\Gradle__com_google_android_gms_play_services_basement_17_1_0_aar.xml                                                   | XML        |         13 |          0 |          0 |         13 |
| c:\Users\surya\practice projects\flutter\notes_app\android\.idea\libraries\Gradle__com_google_android_gms_play_services_measurement_19_0_0_aar.xml                                                | XML        |         13 |          0 |          0 |         13 |
| c:\Users\surya\practice projects\flutter\notes_app\android\.idea\libraries\Gradle__com_google_android_gms_play_services_measurement_api_19_0_0_aar.xml                                            | XML        |         13 |          0 |          0 |         13 |
| c:\Users\surya\practice projects\flutter\notes_app\android\.idea\libraries\Gradle__com_google_android_gms_play_services_measurement_base_19_0_0_aar.xml                                           | XML        |         13 |          0 |          0 |         13 |
| c:\Users\surya\practice projects\flutter\notes_app\android\.idea\libraries\Gradle__com_google_android_gms_play_services_measurement_impl_19_0_0_aar.xml                                           | XML        |         13 |          0 |          0 |         13 |
| c:\Users\surya\practice projects\flutter\notes_app\android\.idea\libraries\Gradle__com_google_android_gms_play_services_measurement_sdk_19_0_0_aar.xml                                            | XML        |         13 |          0 |          0 |         13 |
| c:\Users\surya\practice projects\flutter\notes_app\android\.idea\libraries\Gradle__com_google_android_gms_play_services_measurement_sdk_api_19_0_0_aar.xml                                        | XML        |         13 |          0 |          0 |         13 |
| c:\Users\surya\practice projects\flutter\notes_app\android\.idea\libraries\Gradle__com_google_android_gms_play_services_safetynet_17_0_0_aar.xml                                                  | XML        |         11 |          0 |          0 |         11 |
| c:\Users\surya\practice projects\flutter\notes_app\android\.idea\libraries\Gradle__com_google_android_gms_play_services_stats_17_0_0_aar.xml                                                      | XML        |         11 |          0 |          0 |         11 |
| c:\Users\surya\practice projects\flutter\notes_app\android\.idea\libraries\Gradle__com_google_android_gms_play_services_tasks_17_0_0_aar.xml                                                      | XML        |         11 |          0 |          0 |         11 |
| c:\Users\surya\practice projects\flutter\notes_app\android\.idea\libraries\Gradle__com_google_code_findbugs_jsr305_3_0_2.xml                                                                      | XML        |         13 |          0 |          0 |         13 |
| c:\Users\surya\practice projects\flutter\notes_app\android\.idea\libraries\Gradle__com_google_code_gson_gson_2_8_6.xml                                                                            | XML        |         13 |          0 |          0 |         13 |
| c:\Users\surya\practice projects\flutter\notes_app\android\.idea\libraries\Gradle__com_google_errorprone_error_prone_annotations_2_3_4.xml                                                        | XML        |         13 |          0 |          0 |         13 |
| c:\Users\surya\practice projects\flutter\notes_app\android\.idea\libraries\Gradle__com_google_firebase_firebase_analytics_19_0_0_aar.xml                                                          | XML        |         13 |          0 |          0 |         13 |
| c:\Users\surya\practice projects\flutter\notes_app\android\.idea\libraries\Gradle__com_google_firebase_firebase_analytics_ktx_19_0_0_aar.xml                                                      | XML        |         13 |          0 |          0 |         13 |
| c:\Users\surya\practice projects\flutter\notes_app\android\.idea\libraries\Gradle__com_google_firebase_firebase_annotations_16_0_0.xml                                                            | XML        |         13 |          0 |          0 |         13 |
| c:\Users\surya\practice projects\flutter\notes_app\android\.idea\libraries\Gradle__com_google_firebase_firebase_auth_21_0_1_aar.xml                                                               | XML        |         13 |          0 |          0 |         13 |
| c:\Users\surya\practice projects\flutter\notes_app\android\.idea\libraries\Gradle__com_google_firebase_firebase_auth_interop_19_0_2_aar.xml                                                       | XML        |         13 |          0 |          0 |         13 |
| c:\Users\surya\practice projects\flutter\notes_app\android\.idea\libraries\Gradle__com_google_firebase_firebase_auth_interop_20_0_0_aar.xml                                                       | XML        |         13 |          0 |          0 |         13 |
| c:\Users\surya\practice projects\flutter\notes_app\android\.idea\libraries\Gradle__com_google_firebase_firebase_common_20_0_0_aar.xml                                                             | XML        |         15 |          0 |          0 |         15 |
| c:\Users\surya\practice projects\flutter\notes_app\android\.idea\libraries\Gradle__com_google_firebase_firebase_common_ktx_20_0_0_aar.xml                                                         | XML        |         13 |          0 |          0 |         13 |
| c:\Users\surya\practice projects\flutter\notes_app\android\.idea\libraries\Gradle__com_google_firebase_firebase_components_17_0_0_aar.xml                                                         | XML        |         15 |          0 |          0 |         15 |
| c:\Users\surya\practice projects\flutter\notes_app\android\.idea\libraries\Gradle__com_google_firebase_firebase_database_collection_18_0_0_aar.xml                                                | XML        |         15 |          0 |          0 |         15 |
| c:\Users\surya\practice projects\flutter\notes_app\android\.idea\libraries\Gradle__com_google_firebase_firebase_firestore_23_0_1_aar.xml                                                          | XML        |         15 |          0 |          0 |         15 |
| c:\Users\surya\practice projects\flutter\notes_app\android\.idea\libraries\Gradle__com_google_firebase_firebase_installations_17_0_0_aar.xml                                                      | XML        |         13 |          0 |          0 |         13 |
| c:\Users\surya\practice projects\flutter\notes_app\android\.idea\libraries\Gradle__com_google_firebase_firebase_installations_interop_17_0_0_aar.xml                                              | XML        |         13 |          0 |          0 |         13 |
| c:\Users\surya\practice projects\flutter\notes_app\android\.idea\libraries\Gradle__com_google_firebase_firebase_measurement_connector_19_0_0_aar.xml                                              | XML        |         13 |          0 |          0 |         13 |
| c:\Users\surya\practice projects\flutter\notes_app\android\.idea\libraries\Gradle__com_google_firebase_protolite_well_known_types_18_0_0_aar.xml                                                  | XML        |         13 |          0 |          0 |         13 |
| c:\Users\surya\practice projects\flutter\notes_app\android\.idea\libraries\Gradle__com_google_guava_failureaccess_1_0_1.xml                                                                       | XML        |         13 |          0 |          0 |         13 |
| c:\Users\surya\practice projects\flutter\notes_app\android\.idea\libraries\Gradle__com_google_guava_guava_28_1_android.xml                                                                        | XML        |         13 |          0 |          0 |         13 |
| c:\Users\surya\practice projects\flutter\notes_app\android\.idea\libraries\Gradle__com_google_guava_listenablefuture_9999_0_empty_to_avoid_conflict_with_guava.xml                                | XML        |          9 |          0 |          0 |          9 |
| c:\Users\surya\practice projects\flutter\notes_app\android\.idea\libraries\Gradle__com_google_j2objc_j2objc_annotations_1_3.xml                                                                   | XML        |         13 |          0 |          0 |         13 |
| c:\Users\surya\practice projects\flutter\notes_app\android\.idea\libraries\Gradle__com_google_protobuf_protobuf_javalite_3_14_0.xml                                                               | XML        |         13 |          0 |          0 |         13 |
| c:\Users\surya\practice projects\flutter\notes_app\android\.idea\libraries\Gradle__com_squareup_okhttp_okhttp_2_7_5.xml                                                                           | XML        |         13 |          0 |          0 |         13 |
| c:\Users\surya\practice projects\flutter\notes_app\android\.idea\libraries\Gradle__com_squareup_okio_okio_1_13_0.xml                                                                              | XML        |         13 |          0 |          0 |         13 |
| c:\Users\surya\practice projects\flutter\notes_app\android\.idea\libraries\Gradle__io_flutter_arm64_v8a_debug_1_0_0_40441def692f444660a11e20fac37af9050245ab.xml                                  | XML        |          9 |          0 |          0 |          9 |
| c:\Users\surya\practice projects\flutter\notes_app\android\.idea\libraries\Gradle__io_flutter_armeabi_v7a_debug_1_0_0_40441def692f444660a11e20fac37af9050245ab.xml                                | XML        |          9 |          0 |          0 |          9 |
| c:\Users\surya\practice projects\flutter\notes_app\android\.idea\libraries\Gradle__io_flutter_flutter_embedding_debug_1_0_0_40441def692f444660a11e20fac37af9050245ab.xml                          | XML        |         11 |          0 |          0 |         11 |
| c:\Users\surya\practice projects\flutter\notes_app\android\.idea\libraries\Gradle__io_flutter_x86_64_debug_1_0_0_40441def692f444660a11e20fac37af9050245ab.xml                                     | XML        |          9 |          0 |          0 |          9 |
| c:\Users\surya\practice projects\flutter\notes_app\android\.idea\libraries\Gradle__io_flutter_x86_debug_1_0_0_40441def692f444660a11e20fac37af9050245ab.xml                                        | XML        |          9 |          0 |          0 |          9 |
| c:\Users\surya\practice projects\flutter\notes_app\android\.idea\libraries\Gradle__io_grpc_grpc_android_1_28_0_aar.xml                                                                            | XML        |         15 |          0 |          0 |         15 |
| c:\Users\surya\practice projects\flutter\notes_app\android\.idea\libraries\Gradle__io_grpc_grpc_api_1_28_0.xml                                                                                    | XML        |         13 |          0 |          0 |         13 |
| c:\Users\surya\practice projects\flutter\notes_app\android\.idea\libraries\Gradle__io_grpc_grpc_context_1_28_0.xml                                                                                | XML        |         13 |          0 |          0 |         13 |
| c:\Users\surya\practice projects\flutter\notes_app\android\.idea\libraries\Gradle__io_grpc_grpc_core_1_28_0.xml                                                                                   | XML        |         13 |          0 |          0 |         13 |
| c:\Users\surya\practice projects\flutter\notes_app\android\.idea\libraries\Gradle__io_grpc_grpc_okhttp_1_28_0.xml                                                                                 | XML        |         13 |          0 |          0 |         13 |
| c:\Users\surya\practice projects\flutter\notes_app\android\.idea\libraries\Gradle__io_grpc_grpc_protobuf_lite_1_28_0.xml                                                                          | XML        |         13 |          0 |          0 |         13 |
| c:\Users\surya\practice projects\flutter\notes_app\android\.idea\libraries\Gradle__io_grpc_grpc_stub_1_28_0.xml                                                                                   | XML        |         13 |          0 |          0 |         13 |
| c:\Users\surya\practice projects\flutter\notes_app\android\.idea\libraries\Gradle__io_perfmark_perfmark_api_0_19_0.xml                                                                            | XML        |         13 |          0 |          0 |         13 |
| c:\Users\surya\practice projects\flutter\notes_app\android\.idea\libraries\Gradle__org_checkerframework_checker_compat_qual_2_5_5.xml                                                             | XML        |         13 |          0 |          0 |         13 |
| c:\Users\surya\practice projects\flutter\notes_app\android\.idea\libraries\Gradle__org_codehaus_mojo_animal_sniffer_annotations_1_18.xml                                                          | XML        |         13 |          0 |          0 |         13 |
| c:\Users\surya\practice projects\flutter\notes_app\android\.idea\libraries\Gradle__org_jetbrains_annotations_13_0.xml                                                                             | XML        |         13 |          0 |          0 |         13 |
| c:\Users\surya\practice projects\flutter\notes_app\android\.idea\libraries\Gradle__org_jetbrains_kotlin_kotlin_stdlib_1_3_72.xml                                                                  | XML        |         13 |          0 |          0 |         13 |
| c:\Users\surya\practice projects\flutter\notes_app\android\.idea\libraries\Gradle__org_jetbrains_kotlin_kotlin_stdlib_common_1_3_72.xml                                                           | XML        |         13 |          0 |          0 |         13 |
| c:\Users\surya\practice projects\flutter\notes_app\android\.idea\libraries\Gradle__org_jetbrains_kotlin_kotlin_stdlib_jdk7_1_3_72.xml                                                             | XML        |         13 |          0 |          0 |         13 |
| c:\Users\surya\practice projects\flutter\notes_app\android\.idea\misc.xml                                                                                                                         | XML        |          9 |          0 |          0 |          9 |
| c:\Users\surya\practice projects\flutter\notes_app\android\.idea\modules.xml                                                                                                                      | XML        |         12 |          0 |          0 |         12 |
| c:\Users\surya\practice projects\flutter\notes_app\android\.idea\modules\-23537658\android.cloud_firestore.iml                                                                                    | XML        |         93 |          0 |          0 |         93 |
| c:\Users\surya\practice projects\flutter\notes_app\android\.idea\modules\1998360643\android.firebase_auth.iml                                                                                     | XML        |         85 |          0 |          0 |         85 |
| c:\Users\surya\practice projects\flutter\notes_app\android\.idea\modules\769094907\android.firebase_core.iml                                                                                      | XML        |         66 |          0 |          0 |         66 |
| c:\Users\surya\practice projects\flutter\notes_app\android\.idea\modules\android.iml                                                                                                              | XML        |         19 |          0 |          0 |         19 |
| c:\Users\surya\practice projects\flutter\notes_app\android\.idea\modules\app\android.app.iml                                                                                                      | XML        |        143 |          0 |          0 |        143 |
| c:\Users\surya\practice projects\flutter\notes_app\android\.idea\vcs.xml                                                                                                                          | XML        |          6 |          0 |          0 |          6 |
| c:\Users\surya\practice projects\flutter\notes_app\android\.idea\workspace.xml                                                                                                                    | XML        |        204 |          0 |          0 |        204 |
| c:\Users\surya\practice projects\flutter\notes_app\android\app\.idea\gradle.xml                                                                                                                   | XML        |         15 |          0 |          0 |         15 |
| c:\Users\surya\practice projects\flutter\notes_app\android\app\.idea\misc.xml                                                                                                                     | XML        |          9 |          0 |          0 |          9 |
| c:\Users\surya\practice projects\flutter\notes_app\android\app\.idea\modules.xml                                                                                                                  | XML        |          8 |          0 |          0 |          8 |
| c:\Users\surya\practice projects\flutter\notes_app\android\app\.idea\modules\app.iml                                                                                                              | XML        |         18 |          0 |          0 |         18 |
| c:\Users\surya\practice projects\flutter\notes_app\android\app\.idea\vcs.xml                                                                                                                      | XML        |          6 |          0 |          0 |          6 |
| c:\Users\surya\practice projects\flutter\notes_app\android\app\.idea\workspace.xml                                                                                                                | XML        |         75 |          0 |          0 |         75 |
| c:\Users\surya\practice projects\flutter\notes_app\android\app\build.gradle                                                                                                                       | Groovy     |         49 |          3 |         11 |         63 |
| c:\Users\surya\practice projects\flutter\notes_app\android\app\google-services.json                                                                                                               | JSON       |         39 |          0 |          0 |         39 |
| c:\Users\surya\practice projects\flutter\notes_app\android\app\local.properties                                                                                                                   | Properties |          1 |          7 |          1 |          9 |
| c:\Users\surya\practice projects\flutter\notes_app\android\app\src\debug\AndroidManifest.xml                                                                                                      | XML        |          4 |          3 |          1 |          8 |
| c:\Users\surya\practice projects\flutter\notes_app\android\app\src\main\AndroidManifest.xml                                                                                                       | XML        |         30 |         11 |          1 |         42 |
| c:\Users\surya\practice projects\flutter\notes_app\android\app\src\main\res\drawable-v21\launch_background.xml                                                                                    | XML        |          4 |          7 |          2 |         13 |
| c:\Users\surya\practice projects\flutter\notes_app\android\app\src\main\res\drawable\launch_background.xml                                                                                        | XML        |          4 |          7 |          2 |         13 |
| c:\Users\surya\practice projects\flutter\notes_app\android\app\src\main\res\values-night\styles.xml                                                                                               | XML        |          9 |          9 |          1 |         19 |
| c:\Users\surya\practice projects\flutter\notes_app\android\app\src\main\res\values\styles.xml                                                                                                     | XML        |          9 |          9 |          1 |         19 |
| c:\Users\surya\practice projects\flutter\notes_app\android\app\src\profile\AndroidManifest.xml                                                                                                    | XML        |          4 |          3 |          1 |          8 |
| c:\Users\surya\practice projects\flutter\notes_app\android\build.gradle                                                                                                                           | Groovy     |         28 |          0 |          5 |         33 |
| c:\Users\surya\practice projects\flutter\notes_app\android\gradle.properties                                                                                                                      | Properties |          3 |          0 |          1 |          4 |
| c:\Users\surya\practice projects\flutter\notes_app\android\gradle\wrapper\gradle-wrapper.properties                                                                                               | Properties |          5 |          1 |          1 |          7 |
| c:\Users\surya\practice projects\flutter\notes_app\android\notes_app_android.iml                                                                                                                  | XML        |         27 |          0 |          0 |         27 |
| c:\Users\surya\practice projects\flutter\notes_app\android\settings.gradle                                                                                                                        | Groovy     |          8 |          0 |          4 |         12 |
| c:\Users\surya\practice projects\flutter\notes_app\build\app\generated\res\google-services\debug\values\values.xml                                                                                | XML        |         10 |          0 |          1 |         11 |
| c:\Users\surya\practice projects\flutter\notes_app\build\app\generated\source\buildConfig\debug\com\example\notes_app\BuildConfig.java                                                            | Java       |          8 |          3 |          2 |         13 |
| c:\Users\surya\practice projects\flutter\notes_app\build\app\intermediates\annotation_processor_list\debug\annotationProcessors.json                                                              | JSON       |          1 |          0 |          0 |          1 |
| c:\Users\surya\practice projects\flutter\notes_app\build\app\intermediates\compatible_screen_manifest\debug\output-metadata.json                                                                  | JSON       |         10 |          0 |          0 |         10 |
| c:\Users\surya\practice projects\flutter\notes_app\build\app\intermediates\flutter\debug\flutter_assets\AssetManifest.json                                                                        | JSON       |          1 |          0 |          0 |          1 |
| c:\Users\surya\practice projects\flutter\notes_app\build\app\intermediates\flutter\debug\flutter_assets\FontManifest.json                                                                         | JSON       |          1 |          0 |          0 |          1 |
| c:\Users\surya\practice projects\flutter\notes_app\build\app\intermediates\incremental\mergeDebugAssets\merger.xml                                                                                | XML        |          2 |          0 |          0 |          2 |
| c:\Users\surya\practice projects\flutter\notes_app\build\app\intermediates\incremental\mergeDebugJniLibFolders\merger.xml                                                                         | XML        |          2 |          0 |          0 |          2 |
| c:\Users\surya\practice projects\flutter\notes_app\build\app\intermediates\incremental\mergeDebugResources\compile-file-map.properties                                                            | Properties |          6 |          1 |          1 |          8 |
| c:\Users\surya\practice projects\flutter\notes_app\build\app\intermediates\incremental\mergeDebugResources\merged.dir\values-af\values-af.xml                                                     | XML        |         22 |          0 |          0 |         22 |
| c:\Users\surya\practice projects\flutter\notes_app\build\app\intermediates\incremental\mergeDebugResources\merged.dir\values-am\values-am.xml                                                     | XML        |         22 |          0 |          0 |         22 |
| c:\Users\surya\practice projects\flutter\notes_app\build\app\intermediates\incremental\mergeDebugResources\merged.dir\values-ar\values-ar.xml                                                     | XML        |         22 |          0 |          0 |         22 |
| c:\Users\surya\practice projects\flutter\notes_app\build\app\intermediates\incremental\mergeDebugResources\merged.dir\values-as\values-as.xml                                                     | XML        |         22 |          0 |          0 |         22 |
| c:\Users\surya\practice projects\flutter\notes_app\build\app\intermediates\incremental\mergeDebugResources\merged.dir\values-az\values-az.xml                                                     | XML        |         22 |          0 |          0 |         22 |
| c:\Users\surya\practice projects\flutter\notes_app\build\app\intermediates\incremental\mergeDebugResources\merged.dir\values-b+sr+Latn\values-b+sr+Latn.xml                                       | XML        |         22 |          0 |          0 |         22 |
| c:\Users\surya\practice projects\flutter\notes_app\build\app\intermediates\incremental\mergeDebugResources\merged.dir\values-be\values-be.xml                                                     | XML        |         22 |          0 |          0 |         22 |
| c:\Users\surya\practice projects\flutter\notes_app\build\app\intermediates\incremental\mergeDebugResources\merged.dir\values-bg\values-bg.xml                                                     | XML        |         22 |          0 |          0 |         22 |
| c:\Users\surya\practice projects\flutter\notes_app\build\app\intermediates\incremental\mergeDebugResources\merged.dir\values-bn\values-bn.xml                                                     | XML        |         22 |          0 |          0 |         22 |
| c:\Users\surya\practice projects\flutter\notes_app\build\app\intermediates\incremental\mergeDebugResources\merged.dir\values-bs\values-bs.xml                                                     | XML        |         22 |          0 |          0 |         22 |
| c:\Users\surya\practice projects\flutter\notes_app\build\app\intermediates\incremental\mergeDebugResources\merged.dir\values-ca\values-ca.xml                                                     | XML        |         22 |          0 |          0 |         22 |
| c:\Users\surya\practice projects\flutter\notes_app\build\app\intermediates\incremental\mergeDebugResources\merged.dir\values-cs\values-cs.xml                                                     | XML        |         22 |          0 |          0 |         22 |
| c:\Users\surya\practice projects\flutter\notes_app\build\app\intermediates\incremental\mergeDebugResources\merged.dir\values-da\values-da.xml                                                     | XML        |         22 |          0 |          0 |         22 |
| c:\Users\surya\practice projects\flutter\notes_app\build\app\intermediates\incremental\mergeDebugResources\merged.dir\values-de\values-de.xml                                                     | XML        |         22 |          0 |          0 |         22 |
| c:\Users\surya\practice projects\flutter\notes_app\build\app\intermediates\incremental\mergeDebugResources\merged.dir\values-el\values-el.xml                                                     | XML        |         22 |          0 |          0 |         22 |
| c:\Users\surya\practice projects\flutter\notes_app\build\app\intermediates\incremental\mergeDebugResources\merged.dir\values-en-rAU\values-en-rAU.xml                                             | XML        |          4 |          0 |          0 |          4 |
| c:\Users\surya\practice projects\flutter\notes_app\build\app\intermediates\incremental\mergeDebugResources\merged.dir\values-en-rCA\values-en-rCA.xml                                             | XML        |          4 |          0 |          0 |          4 |
| c:\Users\surya\practice projects\flutter\notes_app\build\app\intermediates\incremental\mergeDebugResources\merged.dir\values-en-rGB\values-en-rGB.xml                                             | XML        |         22 |          0 |          0 |         22 |
| c:\Users\surya\practice projects\flutter\notes_app\build\app\intermediates\incremental\mergeDebugResources\merged.dir\values-en-rIN\values-en-rIN.xml                                             | XML        |          4 |          0 |          0 |          4 |
| c:\Users\surya\practice projects\flutter\notes_app\build\app\intermediates\incremental\mergeDebugResources\merged.dir\values-en-rXC\values-en-rXC.xml                                             | XML        |          4 |          0 |          0 |          4 |
| c:\Users\surya\practice projects\flutter\notes_app\build\app\intermediates\incremental\mergeDebugResources\merged.dir\values-es-rUS\values-es-rUS.xml                                             | XML        |         22 |          0 |          0 |         22 |
| c:\Users\surya\practice projects\flutter\notes_app\build\app\intermediates\incremental\mergeDebugResources\merged.dir\values-es\values-es.xml                                                     | XML        |         22 |          0 |          0 |         22 |
| c:\Users\surya\practice projects\flutter\notes_app\build\app\intermediates\incremental\mergeDebugResources\merged.dir\values-et\values-et.xml                                                     | XML        |         22 |          0 |          0 |         22 |
| c:\Users\surya\practice projects\flutter\notes_app\build\app\intermediates\incremental\mergeDebugResources\merged.dir\values-eu\values-eu.xml                                                     | XML        |         22 |          0 |          0 |         22 |
| c:\Users\surya\practice projects\flutter\notes_app\build\app\intermediates\incremental\mergeDebugResources\merged.dir\values-fa\values-fa.xml                                                     | XML        |         22 |          0 |          0 |         22 |
| c:\Users\surya\practice projects\flutter\notes_app\build\app\intermediates\incremental\mergeDebugResources\merged.dir\values-fi\values-fi.xml                                                     | XML        |         22 |          0 |          0 |         22 |
| c:\Users\surya\practice projects\flutter\notes_app\build\app\intermediates\incremental\mergeDebugResources\merged.dir\values-fr-rCA\values-fr-rCA.xml                                             | XML        |         22 |          0 |          0 |         22 |
| c:\Users\surya\practice projects\flutter\notes_app\build\app\intermediates\incremental\mergeDebugResources\merged.dir\values-fr\values-fr.xml                                                     | XML        |         22 |          0 |          0 |         22 |
| c:\Users\surya\practice projects\flutter\notes_app\build\app\intermediates\incremental\mergeDebugResources\merged.dir\values-gl\values-gl.xml                                                     | XML        |         22 |          0 |          0 |         22 |
| c:\Users\surya\practice projects\flutter\notes_app\build\app\intermediates\incremental\mergeDebugResources\merged.dir\values-gu\values-gu.xml                                                     | XML        |         22 |          0 |          0 |         22 |
| c:\Users\surya\practice projects\flutter\notes_app\build\app\intermediates\incremental\mergeDebugResources\merged.dir\values-hi\values-hi.xml                                                     | XML        |         22 |          0 |          0 |         22 |
| c:\Users\surya\practice projects\flutter\notes_app\build\app\intermediates\incremental\mergeDebugResources\merged.dir\values-hr\values-hr.xml                                                     | XML        |         22 |          0 |          0 |         22 |
| c:\Users\surya\practice projects\flutter\notes_app\build\app\intermediates\incremental\mergeDebugResources\merged.dir\values-hu\values-hu.xml                                                     | XML        |         22 |          0 |          0 |         22 |
| c:\Users\surya\practice projects\flutter\notes_app\build\app\intermediates\incremental\mergeDebugResources\merged.dir\values-hy\values-hy.xml                                                     | XML        |         22 |          0 |          0 |         22 |
| c:\Users\surya\practice projects\flutter\notes_app\build\app\intermediates\incremental\mergeDebugResources\merged.dir\values-in\values-in.xml                                                     | XML        |         22 |          0 |          0 |         22 |
| c:\Users\surya\practice projects\flutter\notes_app\build\app\intermediates\incremental\mergeDebugResources\merged.dir\values-is\values-is.xml                                                     | XML        |         22 |          0 |          0 |         22 |
| c:\Users\surya\practice projects\flutter\notes_app\build\app\intermediates\incremental\mergeDebugResources\merged.dir\values-it\values-it.xml                                                     | XML        |         22 |          0 |          0 |         22 |
| c:\Users\surya\practice projects\flutter\notes_app\build\app\intermediates\incremental\mergeDebugResources\merged.dir\values-iw\values-iw.xml                                                     | XML        |         22 |          0 |          0 |         22 |
| c:\Users\surya\practice projects\flutter\notes_app\build\app\intermediates\incremental\mergeDebugResources\merged.dir\values-ja\values-ja.xml                                                     | XML        |         22 |          0 |          0 |         22 |
| c:\Users\surya\practice projects\flutter\notes_app\build\app\intermediates\incremental\mergeDebugResources\merged.dir\values-ka\values-ka.xml                                                     | XML        |         22 |          0 |          0 |         22 |
| c:\Users\surya\practice projects\flutter\notes_app\build\app\intermediates\incremental\mergeDebugResources\merged.dir\values-kk\values-kk.xml                                                     | XML        |         22 |          0 |          0 |         22 |
| c:\Users\surya\practice projects\flutter\notes_app\build\app\intermediates\incremental\mergeDebugResources\merged.dir\values-km\values-km.xml                                                     | XML        |         22 |          0 |          0 |         22 |
| c:\Users\surya\practice projects\flutter\notes_app\build\app\intermediates\incremental\mergeDebugResources\merged.dir\values-kn\values-kn.xml                                                     | XML        |         22 |          0 |          0 |         22 |
| c:\Users\surya\practice projects\flutter\notes_app\build\app\intermediates\incremental\mergeDebugResources\merged.dir\values-ko\values-ko.xml                                                     | XML        |         22 |          0 |          0 |         22 |
| c:\Users\surya\practice projects\flutter\notes_app\build\app\intermediates\incremental\mergeDebugResources\merged.dir\values-ky\values-ky.xml                                                     | XML        |         22 |          0 |          0 |         22 |
| c:\Users\surya\practice projects\flutter\notes_app\build\app\intermediates\incremental\mergeDebugResources\merged.dir\values-lo\values-lo.xml                                                     | XML        |         22 |          0 |          0 |         22 |
| c:\Users\surya\practice projects\flutter\notes_app\build\app\intermediates\incremental\mergeDebugResources\merged.dir\values-lt\values-lt.xml                                                     | XML        |         22 |          0 |          0 |         22 |
| c:\Users\surya\practice projects\flutter\notes_app\build\app\intermediates\incremental\mergeDebugResources\merged.dir\values-lv\values-lv.xml                                                     | XML        |         22 |          0 |          0 |         22 |
| c:\Users\surya\practice projects\flutter\notes_app\build\app\intermediates\incremental\mergeDebugResources\merged.dir\values-mk\values-mk.xml                                                     | XML        |         22 |          0 |          0 |         22 |
| c:\Users\surya\practice projects\flutter\notes_app\build\app\intermediates\incremental\mergeDebugResources\merged.dir\values-ml\values-ml.xml                                                     | XML        |         22 |          0 |          0 |         22 |
| c:\Users\surya\practice projects\flutter\notes_app\build\app\intermediates\incremental\mergeDebugResources\merged.dir\values-mn\values-mn.xml                                                     | XML        |         22 |          0 |          0 |         22 |
| c:\Users\surya\practice projects\flutter\notes_app\build\app\intermediates\incremental\mergeDebugResources\merged.dir\values-mr\values-mr.xml                                                     | XML        |         22 |          0 |          0 |         22 |
| c:\Users\surya\practice projects\flutter\notes_app\build\app\intermediates\incremental\mergeDebugResources\merged.dir\values-ms\values-ms.xml                                                     | XML        |         22 |          0 |          0 |         22 |
| c:\Users\surya\practice projects\flutter\notes_app\build\app\intermediates\incremental\mergeDebugResources\merged.dir\values-my\values-my.xml                                                     | XML        |         22 |          0 |          0 |         22 |
| c:\Users\surya\practice projects\flutter\notes_app\build\app\intermediates\incremental\mergeDebugResources\merged.dir\values-nb\values-nb.xml                                                     | XML        |         22 |          0 |          0 |         22 |
| c:\Users\surya\practice projects\flutter\notes_app\build\app\intermediates\incremental\mergeDebugResources\merged.dir\values-ne\values-ne.xml                                                     | XML        |         22 |          0 |          0 |         22 |
| c:\Users\surya\practice projects\flutter\notes_app\build\app\intermediates\incremental\mergeDebugResources\merged.dir\values-night-v8\values-night-v8.xml                                         | XML        |          9 |          2 |          0 |         11 |
| c:\Users\surya\practice projects\flutter\notes_app\build\app\intermediates\incremental\mergeDebugResources\merged.dir\values-nl\values-nl.xml                                                     | XML        |         22 |          0 |          0 |         22 |
